latitude,longitude,name,url,postcode,Registered_accounts_type,subactivity (if known)
53.58693,-0.32823,GENREN ENERGY LTD.,,DN39 6YP,Total Exemption Small,
54.4618,-1.17569,JFS WESTHOLME FARM BIOGAS LTD,www.jfsassociates.co.uk,TS9 5PT,Small company,AD
53.73058,-0.99467,DRAX FUEL SUPPLY LIMITED,,YO8 8PH,Full accounts,biomass and coal
53.67946,-1.81504,GREEN FARM ENERGY LTD,,HD2 2EL,Total Exemption Small,
53.52254,-1.13014,BRAMWITH ENGINEERING LTD,,DN1 3NA,Micro-entity accounts,
54.00127,-1.44405,GREAT COATES ENERGY LTD,,HG5 8QB,Not Available,
53.70364,-1.1029,MYRTLE GRANGE RENEWABLES LIMITED,,DN14 0RA,Not Available,
54.10266,-1.46942,NEWBY HALL ESTATE COMPANY LIMITED,www.newbyhall.com,HG4 5AE,Total Exemption Small,
54.46137,-1.17888,JFS WASHFOLD FARM BIOGAS LIMITED,www.jfsassociates.co.uk,TS9 5QT,Total Exemption Small,AD
53.79241,-0.50138,LOW FARM RENEWABLES LIMITED,,HU20 3UT,Total Exemption Small,
53.48201,-1.0857,BALBY POWER LIMITED,,DN11 0PS,Not Available,
53.97107,-0.59769,NDGF LIMITED,,YO25 9EL,Total Exemption Small,
53.48201,-1.0857,CARRHILL POWER LIMITED,,DN11 0PS,Not Available,
53.57817,-0.80684,ROCKSCAPE ENERGY LIMITED,,DN17 4DA,Total Exemption Small,biomass
53.43809,-1.102,DHARDY ELECSERVICES LIMITED,,DN11 9UX,Not Available,
53.763,-0.38589,CLEMENTHORPE LIMITED,,HU5 4JY,Not Available,
53.66557,-1.46459,VEOLIA ENERGY & UTILITY SERVICES UK PLC,www.dalkia.co.uk,WF4 1SE,Full accounts,incineration
53.71343,-1.12981,RWE GENERATION UK PLC,www.rwenpower.com,DN14 0BS,Full accounts,"gas, coal and small amount of biomass"
53.68549,-0.99314,AIREDALE ENERGY LIMITED,,DN14 9BY,Total Exemption Small,
53.85467,-0.28816,ARNOLD R & R LIMITED,,HU11 5JA,Total Exemption Small,
53.97767,-1.52956,GENESYS ENERGY LTD,,HG2 8ER,Not Available,
53.659156,-0.255771,RWE GENERATION UK PLC,www.rwenpower.com,DN40 3EH,Full accounts,"gas, coal and small amount of biomass"
53.86496,-1.44578,E.ON UK COGENERATION LIMITED,,LS14 3HS,Full accounts,biomass and wind
54.08486,-0.20088,MANOR FARM ENERGY LIMITED,,YO16 4LZ,Total Exemption Small,
53.5337,-1.13797,REFOOD UK LIMITED,www.refood.co.uk,DN5 9TL,Medium Company,biomass/incineration of food
53.75821,-0.45818,PV VENTURES LTD,,HU10 7NL,Micro-entity accounts,
54.56243,-1.30436,PX LIMITED,www.pxlimited.com,TS17 6BF,Full accounts,biomass
53.99931,-1.27869,M29 LTD,,YO26 8DH,Total Exemption Small,
53.61644,-1.32428,ROYD MOOR LTD,,WF9 1BA,Total Exemption Small,
53.924,-0.80023,EMPOWER GENERATION LTD,www.empowergeneration.com,YO42 1NR,Micro-entity accounts,
53.82717,-0.08301,GB-BIO LIMITED,www.gb-bio.com,HU11 4SD,Total Exemption Small,biomass
53.74193,-0.73121,BAYSTON (YORKSHIRE) LIMITED,,HU15 2TB,Not Available,
53.79949,-0.26503,GRAVEL HILL FARM LIMITED,,HU11 4JA,Total Exemption Small,
54.08486,-0.20088,HAK (YORKSHIRE) LIMITED,,YO16 4LZ,Total Exemption Small,
54.59151,-1.29244,MARK CADMAN LTD,,TS23 1DB,Total Exemption Small,
53.70396,-0.86995,GREYLION LIMITED,,DN14 5DX,Total Exemption Small,
53.96002,-1.07777,THREEPWOOD HEATING LIMITED,,YO1 8NQ,Total Exemption Small,
54.4618,-1.17569,STANLEY RENEWABLE ENERGY LTD,,TS9 5PT,Total Exemption Small,AD
54.4618,-1.17569,JFS HOME FARM BIOGAS LTD,,TS9 5PT,Small company,AD
53.97315,-1.21541,POLEMOOR POWER LIMITED,,YO26 8JP,Total Exemption Small,
53.73058,-0.99467,DRAX GROUP SERVICES LIMITED,www.draxpower.com,YO8 8PH,Full accounts,biomass and coal
53.67647,-0.85992,COWLING ENERGY LIMITED,,DN14 8AU,Micro-entity accounts,
53.51244,-1.13302,A N & J L LISTER ENERGY LIMITED,,DN4 5FB,Total Exemption Small,
53.74355,-1.54102,JERIKASH GLOBAL LIMITED,,LS10 4EA,Not Available,
53.71691,-1.27133,RWE GENERATION UK PLC,www.rwenpower.com,WF11 8PR,Full accounts,"gas, coal and small amount of biomass"
53.52169,-1.12497,BROWNFIELDS TRADING LIMITED,,DN1 2DJ,Not Available,
53.9772,-1.12997,BLUE CORPORATE SOLUTIONS LIMITED,,YO26 6RB,Total Exemption Small,
53.78761,-0.75064,HASHOLME FARM LIMITED,,YO43 4DD,Total Exemption Small,
53.7186,-0.01837,NGE LIMITED,,HU12 0NR,Total Exemption Full,
53.99109,-1.53351,ROCKSCAPE ENERGY LIMITED,,HG1 5PR,Total Exemption Small,biomass
53.75929,-1.86662,PARWELL LTD,,HX3 6SX,Total Exemption Small,
53.65222,-0.11691,WEETON RENEWABLES LIMITED,,HU12 0AP,Total Exemption Small,
54.28346,-0.43189,BROADLAND ENERGY (MOY) LIMITED,www.countrycottageholiday.com,YO12 6TB,Full accounts,
53.73058,-0.99467,DRAX FINANCE LIMITED,http://www.drax.com/,YO8 8PH,Full accounts,biomass and coal
54.4618,-1.17569,JFS HOWLA HAY BIOGAS LTD,,TS9 5PT,Small company,AD
53.70791,-1.62165,NATIONWIDE RENEWABLES LTD,,WF17 6ER,Not Available,
53.71953,-1.8577,RNK RENEWABLES LIMITED,,HX1 2LE,Total Exemption Small,
53.58648,-0.36446,BIRCH ENERGY LIMITED,www.singletonbirch.co.uk,DN38 6AE,Total Exemption Small,biomass
53.74365,-0.38731,BELLASIZE LIMITED,,HU3 6UU,Total Exemption Small,
54.46305,-1.17692,WAINSTONES ENERGY LIMITED,,TS9 5JZ,Full accounts,?
53.99563,-1.5331,M S CUNNINGHAM LTD,,HG1 5LT,Total Exemption Small,
53.71267,-1.31204,PLANNING PROJECTS LIMITED,,WF10 3HB,Total Exemption Small,
53.659156,-0.255771,CENTRICA KPS LIMITED,www.centrica.com,DN40 3EH,Full accounts,
53.70393,-1.92557,MOUNT PLEASANT FARMING LTD,,HX6 1BT,Total Exemption Small,
53.73744,-0.01072,ALPHAMODE LIMITED,www.alphamode.co.uk,HU19 2BZ,Total Exemption Small,
53.72625,-1.86047,LHF ENERGY LIMITED,,HX1 1YH,Total Exemption Small,
53.73646,-0.37603,CHATFIELD TECHNICAL SERVICES LIMITED,,HU3 5DT,Not Available,
53.71863,-1.87302,SANDBEDS ENERGY LTD,,HX1 1EB,Total Exemption Small,
54.4618,-1.17569,JFS WASHFOLD FARM BIOGAS LIMITED,www.jfsassociates.co.uk,TS9 5PT,Total Exemption Small,AD
53.52169,-1.12497,PANTHEON TRADING LIMITED,,DN1 2DJ,Not Available,
53.75508,-0.33201,OXFORD ELECTRIC POWER LIMITED,,HU2 0QP,Not Available,
53.48201,-1.0857,BALBY CARR POWER LIMITED,,DN11 0PS,Not Available,
53.54116,-0.50573,CENTRICA BRIGG LIMITED,www.centrica.com,DN20 9LT,Full accounts,
54.46137,-1.17888,JFS HOME FARM BIOGAS LTD,,TS9 5QT,Small company,AD
53.93676,-1.39194,E5 ENERGY LIMITED,,LS22 7QY,Total Exemption Small,
53.81411,-0.81055,ARGLAM RENEWABLES LIMITED,,YO43 4HG,Total Exemption Small,
53.51745,-1.27801,HOULSBY COMMISSIONING LTD,,DN5 7HT,Total Exemption Small,
53.73726,-0.23974,SALTEND COGENERATION COMPANY LIMITED,www.internationalpowerplc.com,HU12 8GA,Full accounts,combined cycle gas turbine
53.89552,-0.533,HOTHAM ENERGY LIMITED,,HU17 7PN,Total Exemption Small,
53.48201,-1.0857,ROSSINGTON POWER LIMITED,,DN11 0PS,Not Available,
54.5952,-1.05136,GLOBAL ELECTRA LIMITED,,TS10 2RT,Not Available,
54.06448,-0.38953,HARRISON FARMS SERVICES (KILHAM) LIMITED,,YO25 4RR,Total Exemption Small,
54.12971,-0.48608,COLL POWER LIMITED,,YO17 8HF,Total Exemption Small,
54.23647,-0.75985,THE OLD MILL ENERGY LTD.,,YO18 7NA,Total Exemption Small,
53.937756,-1.072797,KNE LIMITED,,YO10 4HW,Not Available,
53.73156,-0.88181,HUDDLESTONE RENEWABLES LIMITED,,DN14 7EB,Total Exemption Small,
53.93676,-1.39194,E2 ENERGY LIMITED,,LS22 7QY,Total Exemption Small,
54.46137,-1.17888,JFS WESTHOLME FARM BIOGAS LTD,www.jfsassociates.co.uk,TS9 5QT,Small company,AD
54.65319,-1.20695,BIOPOWER (HARTLEPOOL) LIMITED,,TS25 2BW,Not Available,
54.07736,-0.84747,HOWSHAM POWER CO LTD,,YO60 7NE,Total Exemption Small,
53.70466,-0.8758,EBS RENEWABLES LTD,,DN14 6AA,Total Exemption Small,
54.58286,-1.24549,DURANTA TEESSIDE LIMITED,,TS2 1HG,Full accounts,AD
53.96002,-1.07777,STAGSHAW ENERGY LIMITED,,YO1 8NQ,Total Exemption Small,
53.52343,-1.1282,RETFORD WASTE TO ENERGY LIMITED,,DN1 2HJ,Not Available,
53.79976,-0.71357,WHOLSEA RENEWABLES LIMITED,,YO43 4BE,Total Exemption Small,
54.08376,-0.193,J H BOYNTON & SON LIMITED,,YO15 2AE,Total Exemption Small,
53.78267,-1.06708,MICKLEY HYDRO SCHEME LIMITED,,YO8 4PW,Total Exemption Small,?
53.8745,-0.80998,GLEW ENTERPRISES LIMITED,,YO42 4NQ,Total Exemption Small,
53.5951,-0.73971,KEADBY GENERATION LIMITED,www.scottish-southern.co.uk,DN17 3EF,Full accounts,power station
53.63943,-1.9021,DL GREEN ENERGY LTD,,HD3 3FW,Total Exemption Small,
53.8466,-1.63247,ORGANIC ENERGIES LTD,,LS18 5NT,Not Available,
54.46137,-1.17888,JFS WRAY HOUSE BIOGAS LTD,,TS9 5QT,Total Exemption Small,AD
53.50218,-0.61357,AMWARD LIMITED,,DN21 3HY,Total Exemption Small,
53.58228,-1.17921,BRUNO919 LIMITED,,DN6 8DA,Not Available,
53.70006,-1.9714,CROW HILL END POWER LTD,,HX6 3HA,Total Exemption Small,
54.4618,-1.17569,JFS WRAY HOUSE BIOGAS LTD,,TS9 5PT,Total Exemption Small,AD
54.50953,-1.35505,GAIA POWER TEES VALLEY LIMITED,,TS15 9BG,Total Exemption Small,
53.80241,-0.7945,MALUDA LIMITED,,YO43 4BX,Total Exemption Small,
54.00413,-0.43998,BRANHAM FARMING LIMITED,,YO25 6RA,Total Exemption Small,
53.9606,-1.08182,C & G RENEWABLES LIMITED,,YO1 8AJ,Total Exemption Small,
54.68649,-1.20512,ASA RENEWABLES LIMITED,,TS24 7DJ,Total Exemption Small,
53.93489,-0.9041,A & C WOOD LIMITED,,YO41 4DB,Total Exemption Small,
53.540746,-0.693381,KEADBY GENERATION LIMITED,www.scottish-southern.co.uk,DN17 3AZ,Full accounts,power station
53.6029,-0.14558,CENTRICA SHB LIMITED,www.centrica.com,DN41 8BZ,Full accounts,
53.70788,-0.10445,KEYINGHAM POWER LIMITED,,HU12 9RX,Small company,
54.28346,-0.43189,BROADLAND ENERGY (LAUDALE) LIMITED,www.countrycottageholiday.com,YO12 6TB,Full accounts,
53.73781,-0.33792,EWH FINCO LIMITED,,HU1 2BN,Not Available,
54.69382,-1.22054,A D GREGORY ELECTRICAL SERVICES LTD,,TS24 8FN,Not Available,
53.784935,-1.067699,RWE GENERATION UK PLC,www.rwenpower.com,YO8 8PQ,Full accounts,"gas, coal and small amount of biomass"
